step,episode,episode_return,episode_length,seed
339968,904,500.0,500,1
342016,905,500.0,500,1
342016,906,500.0,500,1
342016,907,500.0,500,1
342016,908,500.0,500,1
344064,909,500.0,500,1
344064,910,500.0,500,1
344064,911,500.0,500,1
344064,912,500.0,500,1
346112,913,500.0,500,1
346112,914,500.0,500,1
346112,915,500.0,500,1
346112,916,500.0,500,1
348160,917,500.0,500,1
348160,918,500.0,500,1
348160,919,500.0,500,1
348160,920,500.0,500,1
350208,921,500.0,500,1
350208,922,500.0,500,1
350208,923,500.0,500,1
350208,924,500.0,500,1
352256,925,500.0,500,1
352256,926,500.0,500,1
352256,927,500.0,500,1
352256,928,500.0,500,1
354304,929,500.0,500,1
354304,930,500.0,500,1
354304,931,500.0,500,1
354304,932,500.0,500,1
356352,933,500.0,500,1
356352,934,500.0,500,1
356352,935,500.0,500,1
356352,936,500.0,500,1
358400,937,500.0,500,1
358400,938,500.0,500,1
358400,939,500.0,500,1
358400,940,500.0,500,1
360448,941,500.0,500,1
360448,942,500.0,500,1
360448,943,500.0,500,1
360448,944,500.0,500,1
362496,945,500.0,500,1
362496,946,500.0,500,1
362496,947,500.0,500,1
362496,948,500.0,500,1
364544,949,500.0,500,1
364544,950,500.0,500,1
364544,951,500.0,500,1
364544,952,500.0,500,1
366592,953,500.0,500,1
366592,954,500.0,500,1
366592,955,500.0,500,1
366592,956,500.0,500,1
368640,957,500.0,500,1
368640,958,500.0,500,1
368640,959,500.0,500,1
368640,960,500.0,500,1
370688,961,500.0,500,1
370688,962,500.0,500,1
370688,963,168.0,168,1
370688,964,500.0,500,1
372736,965,500.0,500,1
372736,966,500.0,500,1
372736,967,500.0,500,1
372736,968,500.0,500,1
374784,969,500.0,500,1
374784,970,500.0,500,1
374784,971,500.0,500,1
374784,972,500.0,500,1
376832,973,500.0,500,1
376832,974,500.0,500,1
376832,975,500.0,500,1
376832,976,500.0,500,1
378880,977,500.0,500,1
378880,978,500.0,500,1
378880,979,500.0,500,1
378880,980,389.0,389,1
380928,981,500.0,500,1
380928,982,500.0,500,1
380928,983,500.0,500,1
380928,984,500.0,500,1
382976,985,500.0,500,1
382976,986,500.0,500,1
382976,987,500.0,500,1
382976,988,500.0,500,1
385024,989,500.0,500,1
385024,990,500.0,500,1
385024,991,500.0,500,1
385024,992,291.0,291,1
387072,993,500.0,500,1
387072,994,107.0,107,1
387072,995,500.0,500,1
387072,996,500.0,500,1
389120,997,500.0,500,1
389120,998,500.0,500,1
389120,999,500.0,500,1
389120,1000,500.0,500,1
391168,1001,71.0,71,1
391168,1002,500.0,500,1
391168,1003,500.0,500,1
391168,1004,500.0,500,1
393216,1005,208.0,208,1
393216,1006,500.0,500,1
393216,1007,500.0,500,1
393216,1008,500.0,500,1
395264,1009,500.0,500,1
395264,1010,500.0,500,1
395264,1011,219.0,219,1
395264,1012,500.0,500,1
397312,1013,500.0,500,1
397312,1014,500.0,500,1
397312,1015,500.0,500,1
397312,1016,500.0,500,1
399360,1017,500.0,500,1
399360,1018,500.0,500,1
399360,1019,500.0,500,1
399360,1020,500.0,500,1
401408,1021,500.0,500,1
401408,1022,500.0,500,1
401408,1023,500.0,500,1
401408,1024,500.0,500,1
403456,1025,500.0,500,1
403456,1026,500.0,500,1
403456,1027,500.0,500,1
403456,1028,500.0,500,1
405504,1029,500.0,500,1
405504,1030,500.0,500,1
405504,1031,500.0,500,1
405504,1032,500.0,500,1
407552,1033,435.0,435,1
407552,1034,500.0,500,1
407552,1035,500.0,500,1
407552,1036,500.0,500,1
409600,1037,500.0,500,1
409600,1038,500.0,500,1
409600,1039,500.0,500,1
409600,1040,227.0,227,1
411648,1041,500.0,500,1
411648,1042,500.0,500,1
411648,1043,500.0,500,1
411648,1044,378.0,378,1
413696,1045,500.0,500,1
413696,1046,158.0,158,1
413696,1047,500.0,500,1
413696,1048,200.0,200,1
413696,1049,500.0,500,1
415744,1050,312.0,312,1
415744,1051,500.0,500,1
415744,1052,500.0,500,1
415744,1053,500.0,500,1
417792,1054,500.0,500,1
417792,1055,500.0,500,1
417792,1056,500.0,500,1
417792,1057,500.0,500,1
419840,1058,500.0,500,1
419840,1059,500.0,500,1
419840,1060,500.0,500,1
419840,1061,500.0,500,1
421888,1062,500.0,500,1
421888,1063,500.0,500,1
421888,1064,500.0,500,1
